,company/brand,stage,amount,headquarter,what_it_does,year_collected,investor,sector,founded,founders
831,Betterplace,Series B,10000000.0,Bangalore,Developer of a digital verification platform designed to manage the semi-formal workforce.,2020,Jungle Ventures,IT & Technology,2015.0,"Saurabh Tandan, Pravin Agarwala"
832,Biddano,Pre-series A,600000.0,Mumbai,India's 1st tech-enabled healthcare logistics platform.,2020,Windrose Capital,Healthcare & Life Sciences,2016.0,Talha Shaikh
833,InVideo,Series A,15000000.0,Mumbai,InVideo enables you to transform your content into great videos.,2020,"Base Partners, Sequoia Capital India",Media & Entertainment,2017.0,"Harsh Vakharia, Pankit Chheda, Sanket Shah"
834,Arzooo,Series A,7500000.0,Bangalore,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",2020,"3Lines, Jabbar Internet Group",Retail,2016.0,"Khushnud Khan, Rishi Raj Rathore"
835,Hubilo,Seed,4500000.0,"San Francisco, California, United States",World’s smartest virtual event platform that brings Experience & Intelligence together,2020,"Nishant Rao, Jonathan Boutelle",IT & Technology,2020.0,"Mayank Agarwal, Vaibhav Jain"
836,BASIC Home Loan,Seed,5000000.0,Gurugram,"A platform for automating home loans for middle and low-income households in India,",2020,Picus Capital,Financial Services,2020.0,Atul Monga
837,Ketos,,18000000.0,"San Francisco, United States",KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,2020,"Citi Ventures, Illuminated Funds Group",IT & Technology,2015.0,Meena Sankaran
838,SUGAR cosmetics,Debt,2000000.0,Mumbai,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,2020,"A91 Partners, RB Investments Pte. Ltd",Consumer Goods,2012.0,"Kasuhik Mukherjee, Vineeta Singh"
839,Signzy,,5400000.0,Bangalore,It is creating 'building blocks for a Digital Trust system.,2020,"GenNext Ventures, Contrarian Drishti Partners",Financial Services,2015.0,"Ankit Ratan, Ankur Pandey, Arpit Ratan"
840,Ahaguru,Series A,1000000.0,Chennai,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",2020,Anand Mahindra,Education,2012.0,"Gomathi S, Dr Balaji Sampath"
841,Tekion,Series C,150000000.0,"San Ramon, California",It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,2020,"Alliance Ventures, Storm Ventures",IT & Technology,2016.0,"Guru Sankararaman, Jay Vijayan"
842,Brighteye Ventures,,5400000.0,"Paris, Ile-de-France, France",Education technology venture capital firm.,2020,Tandem,Education,2017.0,David guerin
843,EzeRx,Seed,200000.0,Kolkata,Developer and manufacturer of medical devices,2020,"Indian Oil Corporation, Krishna Chakravarty",Healthcare & Life Sciences,2018.0,"Amit mandahar, Chaitali roy"
844,VitalTech,Seed,3000000.0,"Plano, Texas, United States","VitalTech is a develop technologies that empower patients to better care for their safety,",2020,Tech Mahindra,Healthcare & Life Sciences,2018.0,Anjan Panneer Selvam
845,Genius Teacher,,2000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020,"Whiteboard Capital, VKG Ventures LLP.",Education,2016.0,"Advitiya Sharma, Gaurav Lahoti"
846,Ultraviolette Automotive,Series B,4000000.0,Bangalore,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,2020,TVS Motor Company,Transportation & Logistics,2014.0,"Narayan Subramaniam, Niraj Rajmohan"
847,Tring,,2743000.0,Mumbai,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",2020,"Sujeet Kumar, Hemesh Singh",Media & Entertainment,2019.0,"Akshay Saini, Rahul Saini, Pranav Chabhadia"
848,Rare Planet,Pre-series A,400000.0,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020,Venture Catalysts,Retail,2015.0,"Ranodeep Saha, Vijay Kumar"
849,GoodGamer,Seed,2500000.0,Bangalore,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,2020,Undisclosed,Media & Entertainment,2020.0,Charles Creighton
850,InnAccel,Pre-series A,1500000.0,Bangalore,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",2020,Mount Judi Ventures,Healthcare & Life Sciences,2012.0,Siraj Dhanani
851,Tiliter,,7500000.0,Sydney,Software that uses computer vision to recognise products without barcodes,2020,"AngelList, Investec",Retail,2017.0,"Chris Sampson, Marcel Herz, Martin Karafilis"
852,Slintel,,4200000.0,"San Francisco Bay Area, Silicon Valley, West Coast","Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",2020,"Accel, Stellaris Venture Partners",Business Services,2016.0,"Deepak Anchala, Rahul Bhattacharya, Ranjana TN"
853,SoOLEGAL,,4000000.0,New Delhi,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",2020,Undisclosed,Business Services,2015.0,Manish Kaul
854,HobSpace,Seed,200000.0,Mumbai,India's Activity Hub for Kids,2020,Artha Venture,Education,2019.0,"Priya Goel Sheth, Harsh Jain"
855,Supplynote,Seed,500000.0,Noida,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,2020,"MOX, SOSV",IT & Technology,2015.0,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash"
856,Hire Me Car,Seed,150000.0,Noida,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,2020,Undisclosed,Transportation & Logistics,2020.0,Pankaj Sharma
857,ShopUp,Series A,22000000.0,Bangaldesh,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",2020,"Flourish Ventures, Lonsdale Capital",Retail,2017.0,"Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar"
858,Harmonizer India,,2743000.0,Bangalore,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",2020,Kapil Dev,IT & Technology,2019.0,M R Srinivas
859,Zomato,,52000000.0,Gurugram,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,2020,"Kora, Tiger Global Management",Consumer Goods,2008.0,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah"
860,Dukaan,Seed,6000000.0,Mumbai,Developer of an android application designed for businesses to sell online.,2020,"Lightspeed, Matrix Partners.",IT & Technology,2020.0,"Subhash Choudhary, Suumit Shah"
861,CredR,,2000000.0,Mumbai,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,2020,"Eight Roads Ventures, On Mauritius",Transportation & Logistics,2014.0,"Nikhil Jain, Nittin Mittal, Sumit Chhazed"
862,Satyukt,Seed,500000.0,Bangalore,An agritech company that provides business to business (B2B) agricultural data,2020,"NABVENTURES, Social Alpha (India)",Agriculture,2018.0,"Sat Tomer, Yukti Gill"
863,RACEnergy,,2743000.0,Hyderabad,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,2020,"growX Ventures, Huddle (Incubator)",Transportation & Logistics,2018.0,"Arun Sreyas, Gautham Maheswaran"
864,TREAD,Pre-seed,1100000.0,Bangalore,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,2020,"Better Capital, Kunal Shah, Gaurav Munjal",Healthcare & Life Sciences,2020.0,Dinesh Godara
865,Anveshan,Pre-seed,100000.0,Bangalore,Provide quality and healthy food products,2020,Titan Capital,Consumer Goods,2019.0,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa"
866,TeaMonk,Pre-series A,900000.0,Bangalore,India's Finest Specialty Tea company.,2020,"Lead Angels Network, Roots Ventures",Consumer Goods,2016.0,"Amit Dutta, Ashok Mittal"
867,Fleetx,Pre-series B,3000000.0,Gurugram,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.",2020,"Rohit Bansal, Rohan Ranavat",IT & Technology,2017.0,"Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra"
868,ReNEWate,Pre-seed,150000.0,Pune,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",2020,Real Estate Accelerator Program,Real Estate,2018.0,Supratik Ghatak
